"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 17:25:33 GMT 2023","Mon Nov 27 17:25:39 GMT 2023","6490","firefox","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"failed","Mon Nov 27 17:25:14 GMT 2023","Mon Nov 27 17:25:24 GMT 2023","9775","chromium","registration.spec.ts","Registration","","","Registration",""
"passed","Mon Nov 27 17:25:39 GMT 2023","Mon Nov 27 17:25:45 GMT 2023","5425","firefox","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 27 17:25:29 GMT 2023","Mon Nov 27 17:25:33 GMT 2023","4005","firefox","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"passed","Mon Nov 27 17:24:47 GMT 2023","Mon Nov 27 17:24:52 GMT 2023","4930","chromium","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 27 17:24:37 GMT 2023","Mon Nov 27 17:24:41 GMT 2023","3324","chromium","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"passed","Mon Nov 27 17:25:24 GMT 2023","Mon Nov 27 17:25:28 GMT 2023","4383","chromium","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"failed","Mon Nov 27 17:26:28 GMT 2023","Mon Nov 27 17:26:39 GMT 2023","10858","firefox","registration.spec.ts","Registration","","","Registration",""
"passed","Mon Nov 27 17:24:41 GMT 2023","Mon Nov 27 17:24:47 GMT 2023","6626","chromium","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"passed","Mon Nov 27 17:26:39 GMT 2023","Mon Nov 27 17:26:44 GMT 2023","5115","firefox","valid.login.spec.ts","Logging in","","","Logging in existing user",""
