"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 13 23:00:46 EET 2023","Mon Nov 13 23:00:53 EET 2023","6861","chromium","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 13 23:00:46 EET 2023","Mon Nov 13 23:00:57 EET 2023","10965","chromium","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"passed","Mon Nov 13 23:00:59 EET 2023","Mon Nov 13 23:01:08 EET 2023","9024","firefox","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"passed","Mon Nov 13 23:00:57 EET 2023","Mon Nov 13 23:01:14 EET 2023","16184","firefox","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 13 23:00:53 EET 2023","Mon Nov 13 23:00:59 EET 2023","5304","firefox","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"failed","Mon Nov 13 23:00:58 EET 2023","Mon Nov 13 23:01:16 EET 2023","17939","firefox","registration.spec.ts","Registration","","","Registration",""
"failed","Mon Nov 13 23:00:46 EET 2023","Mon Nov 13 23:00:57 EET 2023","11679","chromium","registration.spec.ts","Registration","","","Registration",""
"passed","Mon Nov 13 23:00:50 EET 2023","Mon Nov 13 23:00:55 EET 2023","4294","chromium","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"passed","Mon Nov 13 23:00:46 EET 2023","Mon Nov 13 23:00:50 EET 2023","4691","chromium","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"passed","Mon Nov 13 23:00:55 EET 2023","Mon Nov 13 23:01:12 EET 2023","16460","firefox","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
